n,r,s
0,0,0.000095
100,2878,0.750949
200,5478,1.505801
300,9482,2.253402
400,12238,3.01417
500,15358,3.860765
600,16736,4.785477
700,18934,6.015901
800,20892,7.160626
900,21189,8.037471
1000,21777,9.059775
1100,22317,10.121609
1200,22878,11.206095
1300,23715,12.119084
1400,24201,12.975877
1500,24501,13.712283
1600,30433,15.801581
1700,47546,22.994951
1800,49394,21.799854
1900,49886,22.45584
2000,50339,24.372148
2100,51974,27.446211
2200,54728,25.705593
2300,55838,27.699518
2400,57218,28.281691
2500,58849,29.38038
2600,59146,30.516909
2700,59572,31.580297
2800,60232,32.55893
2900,60532,33.502499
3000,60832,33.994234
3100,61366,35.802672
3200,61828,36.361021
3300,63550,37.34174
3400,66631,38.865975
3500,68201,40.030758
3600,70768,41.708357
3700,74065,43.011584
3795,94771,51.99386
